specimen__id,layer,Cre_line,ei,theta_x,theta_y,theta_z
508378649,L3,H16,e,0.000838,0.0,2.703839
508417989,L3,H16,e,-0.07786,0.0,2.899518
528038990,L3,H16,e,0.006017,0.0,-2.372527
529878215,L3,H16,e,-0.074944,0.0,2.886984
531526539,L3,H16,e,0.025357,0.0,2.696875
541563728,L2,H16,e,-0.014358,0.0,2.536766
548457754,L3,H16,e,-0.00651,0.0,2.524341
569844159,L3,H17,e,0.019018,0.0,-2.775184
571500474,L2,H17,e,-0.008936,0.0,-1.665647
571654895,L2,H17,e,-0.010516,0.0,-3.011895
531520637,L3,H16,i,0.037502,0.0,-2.873653
601927090,L3,H17,i,-0.118202,0.0,0.71544
614651270,L3,H17,i,0.016182,0.0,-0.070588
526734407,L3,H16,i,-0.012453,0.0,-2.802463
